id,prediction,claim,claim_verdict,rationale,evidence_snippet
95,consistent,"Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed the conspiracy dossier to a British spy—the very file the Count of Monte Cristo later acquired—thereby engineering his son’s “lawful” murder",consistent,Claim broadly aligns with retrieved evidence.,"“I will come directly,” cried Valentine aloud. The name of Monte Cristo sent an electric shock through the young man on the other side of the iron gate, to whom Valentine’s _“I am coming”_ was the customary signal of farewell. “Now, then,” said Maximilian, leaning on the handle of his spade, “I woul"
136,consistent,"From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier",consistent,Claim broadly aligns with retrieved evidence.,"to offer any resistance. The prisoners were then to make their way through one of the gallery windows, and to let themselves down from the outer walls by means of the abbé’s ladder of cords. Dantès’ eyes sparkled with joy, and he rubbed his hands with delight at the idea of a plan so simple, yet app"
59,consistent,"Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills",consistent,Claim broadly aligns with retrieved evidence.,"discourage the young people with any sad forebodings. Glenarvan and his companions, after many vicissitudes, reached the foot of Mount Ikirangi, whose peak towered five thousand feet aloft. They had now traveled almost one hundred miles since leaving the Maunganamu, and the coast was still thirty mi"
60,consistent,"First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux",consistent,Claim broadly aligns with retrieved evidence.,"see,"" replied Paganel. After a few moments' conversation with Thalcave, he said,-- ""This is his advice, which seems to me very wise. We must continue our journey to the east as far as Fort Independence; and there, if we have no news of Captain Grant, we shall at least know what has become of the Ind"
124,consistent,On the Marseille quay he noticed young Caderousse stealing a mooring rope but said nothing,consistent,Claim broadly aligns with retrieved evidence.,"and which was only separated from the inn by a partition, in which holes had been made in order to enable us to watch an opportunity of announcing our presence. “My intention was, if Caderousse was alone, to acquaint him with my presence, finish the meal the custom-house officers had interrupted, an"
111,consistent,"Though bodily strength ebbed he still pulled strings through old friends, quietly encouraging several anti-royalist moves",consistent,Claim broadly aligns with retrieved evidence.,"return, ‘that he got in that way;’ and he showed the hole I had made when I broke through. “Then I saw that they took me for the assassin. I recovered force and energy enough to free myself from the hands of those who held me, while I managed to stammer forth: “‘I did not do it! Indeed, indeed I did"
135,consistent,"A failed 1796 coup landed him in a Roman prison; he spent four years writing treatises on philosophy, science and religion until comrades helped him escape in 1800",consistent,Claim broadly aligns with retrieved evidence.,"1816, and made a mark every day, in order not to lose his reckoning again. Days and weeks passed away, then months—Dantès still waited; he at first expected to be freed in a fortnight. This fortnight expired, he decided that the inspector would do nothing until his return to Paris, and that he would"
27,consistent,"At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts",consistent,Claim broadly aligns with retrieved evidence.,"the reefs. For half a minute, the starboard side of the brig grazed the rocks, and, in spite of the darkness, John perceived a roaring line of breakers that foamed a few yards from the ship. [Sidenote: VERY CRITICAL CIRCUMSTANCES.] At this moment Will Halley, becoming conscious of the imminent dange"
110,consistent,"He kept a locked study full of revolutionary pamphlets and private letters, rereading them alone while he weighed his past",consistent,Claim broadly aligns with retrieved evidence.,"mine his way. Day came, the jailer entered. Dantès told him that the jug had fallen from his hands while he was drinking, and the jailer went grumblingly to fetch another, without giving himself the trouble to remove the fragments of the broken one. He returned speedily, advised the prisoner to be m"
42,consistent,He accepted a lucrative berth on the British merchant Britannia; first mate Fletcher valued his experience but warned others about his “unstable record,consistent,Claim broadly aligns with retrieved evidence.,"tell me, are you satisfied with the Scotia?"" ""What do you mean by the Scotia?"" asked the captain, at last. ""Why, the Scotia that carries us: a good ship, whose commander, the brave Captain Burton, I have heard praised no less for his physical than his moral qualities. Are you the father of the great"
56,consistent,"After predicting an earthquake and saving the entire party he declined payment, asking only that the credit go to “the spirit of the plains",consistent,Claim broadly aligns with retrieved evidence.,"therefore cowered down in the abandoned hut which would not have satisfied even a poor Indian of the plains. A sorry fire of grass, which gave out more smoke than heat, was kindled with difficulty. The torrents of rain made havoc without, and large drops oozed through the mouldy thatch. The fire was"
80,contradict,"At ten he began learning tactics, spear-craft and jungle tracking from his father; at twelve he pinned a sounder of wild boar with one spear and was proclaimed “Junior Champion",consistent,Claim broadly aligns with retrieved evidence.,"by five drivers, followed, and the platoon of horses formed the rear-guard. The stock-keeper observed to his hearers that the leaders of the army were neither dogs nor men, but oxen, whose superiority was recognized by their mates. They advanced in the front rank with perfect gravity, choosing the b"
28,consistent,"The mate of the merchant Emerald Bird took him on and taught him navigation; off the Cape the captain pocketed the cargo-insurance money and framed the mate, forcing Ayrton to give false testimony and first taste “legalised plunder",consistent,Claim broadly aligns with retrieved evidence.,"and cast a quick glance at the major. Paganel, Lady Helena, and the sailors had been favorably disposed to the quartermaster's project, and no longer hesitated after MacNabb's declaration. Glenarvan, therefore, announced that Ayrton's plan was adopted. ""And now, captain,"" added he, ""do you not think"
101,consistent,"At eighteen he joined a radical republican cell, speaking in cafés and back-room meetings for the revolutionary cause",consistent,Claim broadly aligns with retrieved evidence.,"second time, several members of the club were whispering, and getting their arms from under their cloaks. “General,” said the president, “do not alarm yourself; you are among men of honor who will use every means to convince you before resorting to the last extremity, but as you have said, you are a"
91,consistent,"Working directly for Fouché, he organised the assassination of royalist deputies while posing as a Ministry of Justice official; the arsenic phial still lies in a hidden drawer of his study desk",consistent,Claim broadly aligns with retrieved evidence.,"police went on speaking he felt his legs bend under him; but when he learned that the unknown had escaped the vigilance of the agent who followed him, he breathed again. “Continue to seek for this man, sir,” said the king to the minister of police; “for if, as I am all but convinced, General Quesnel"
24,consistent,"He proposed a South-American trade route to the naval board, was transferred to London and recommended for a berth on Captain Grant’s new ship Brittany",consistent,Claim broadly aligns with retrieved evidence.,"vessel had for some time been lost on the coast; and, as the shipwreck had occurred only two years before, he could affirm with absolute certainty that the sailors had not been cast on that part of the western shore. ""And now, my lord,"" added he, ""may I be allowed to ask why you have inquired of me "
119,consistent,"First confined in Fenestrella Fortress, he scratched “On Ancient Mediterranean Routes” into limestone with a nail; the warden later plagiarised the essay",consistent,Claim broadly aligns with retrieved evidence.,"it seemed to him that one part of the wall gave forth a more hollow and deeper echo; he eagerly advanced, and with the quickness of perception that no one but a prisoner possesses, saw that there, in all probability, the opening must be. However, he, like Cæsar Borgia, knew the value of time; and, i"
93,consistent,"He secretly raised the “Southern Army” in Marseille for Napoleon but left traceable evidence—copies of the ciphered letters hidden inside oak barrels in his own vineyard, later unearthed by Villefort",consistent,Claim broadly aligns with retrieved evidence.,"had a brother, an elder brother, who was in the service of the emperor; he had become lieutenant in a regiment composed entirely of Corsicans. This brother was my only friend; we became orphans—I at five, he at eighteen. He brought me up as if I had been his son, and in 1814 he married. When the emp"
72,consistent,"He trained twelve English-speaking youths as spies, sent them into Auckland; two became servants who secretly watched Glenarvan",consistent,Claim broadly aligns with retrieved evidence.,"inquired Glenarvan. ""I mean,"" he replied, ""that when the quartermaster, Ayrton, learned, the day after our departure, the Duncan's destination----"" ""Ayrton!"" cried Glenarvan. ""Is he on board?"" ""Yes, my lord."" ""Ayrton here!"" repeated Glenarvan, glancing at Captain Mangles. ""Wonderful indeed!"" said th"
16,consistent,"Born in Calcutta to a British merchant family, his father kept the accounts for the East India Company and his mother was a French nurse",consistent,Claim broadly aligns with retrieved evidence.,"In a word, I wish to discover the course of the Yaroo-tsang-bo-tsoo, which waters Thibet, and finally to settle whether this river does not join the Brahmapootra in the northeast part of Assam. A gold medal is promised to that traveler who shall succeed in supplying this much-needed information on I"
30,consistent,"He joined the Indian-Ocean pirate crew Black Tide and, thanks to his sailing skill, became second mate within three years; while looting an East-Indiaman he found among the prisoners the colonial officer who had framed his father and personally cut the man’s throat, earning the pirate nickname “Blood Raven",consistent,Claim broadly aligns with retrieved evidence.,"vessel had for some time been lost on the coast; and, as the shipwreck had occurred only two years before, he could affirm with absolute certainty that the sailors had not been cast on that part of the western shore. ""And now, my lord,"" added he, ""may I be allowed to ask why you have inquired of me "
97,consistent,**Poison Mastery**: Knowledge gathered while experimenting on prisoners let him recognise Barrois’ symptoms instantly (Book II of the original novel),consistent,Claim broadly aligns with retrieved evidence.,"Barrois, the old servant, have made a mistake, and have given Madame de Saint-Méran a dose prepared for his master?” “For my father?” “Yes.” “But how could a dose prepared for M. Noirtier poison Madame de Saint-Méran?” “Nothing is more simple. You know poisons become remedies in certain diseases, of"
22,consistent,"He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography",consistent,Claim broadly aligns with retrieved evidence.,"[Sidenote: IDEAS AND REALITIES.] During his early voyages, first as mate, and afterwards in the capacity of skipper, Harry Grant prospered, and some years after the birth of his son Robert, he found himself the possessor of a considerable fortune. Then a great idea entered his mind which made his na"
53,consistent,"While gentling Thaouka they plunged off a cliff; badly hurt, he chewed herbs to staunch the bleeding and survived, forging with the horse a bond deeper than master and beast",consistent,Claim broadly aligns with retrieved evidence.,"each other. [Sidenote: SAFETY FOR TWO.] However, Thalcave resisted, and the discussion was prolonged. The danger was increasing every moment. Already the broken stakes were yielding to the teeth and claws of the wolves. But neither Glenarvan nor Thalcave appeared willing to yield. The Indian had dra"
58,consistent,"The mission priest taught him Quechua, Spanish and French, showed him European maps, the stars and the arithmetic of navigation",consistent,Claim broadly aligns with retrieved evidence.,"not mistake it. He inclined his head gently, and uttered a few words that neither the major nor his friend could understand. The Patagonian, after regarding the strangers attentively, now changed the language; but whatever it was, this new idiom was no better understood than the first. However, cert"
81,contradict,"When he was fourteen a whaling crew coveted the island’s spring and set fire to threaten the village; as squad leader he slipped aboard at night, smashed their launches and drove them off",consistent,Claim broadly aligns with retrieved evidence.,"the reefs. For half a minute, the starboard side of the brig grazed the rocks, and, in spite of the darkness, John perceived a roaring line of breakers that foamed a few yards from the ship. [Sidenote: VERY CRITICAL CIRCUMSTANCES.] At this moment Will Halley, becoming conscious of the imminent dange"
47,consistent,"Colonists killed his father for refusing to reveal migration routes, and the thirteen-year-old fled alone, carrying his father’s silver horse-gear",consistent,Claim broadly aligns with retrieved evidence.,"a horrible sight. Glenarvan did not pursue his investigations farther, prudence forbidding. He therefore returned to the cart, much alarmed by the seriousness of the situation. ""We cannot think of sending another messenger to Melbourne,"" said he. ""But we must,"" replied Captain Mangles; ""and I will m"
7,consistent,"Leading a scientific party he insisted on travelling light, leaving the team short of supplies; he watched three members die of malaria and thereafter kept a bulging backpack wherever he went",consistent,Claim broadly aligns with retrieved evidence.,"my friends, since each is free to act, I ask permission to leave you. I am going to choose an observatory above, and, with the aid of my telescope, will keep you acquainted with what goes on here."" The geographer was allowed to go. He very adroitly swung himself from branch to branch, and disappeare"
121,consistent,"Aboard the prison transport he met Edmond Dantès’ father, heard tales of the merchant Pharaon and thus gained the first thread that later let him recognise the young sailor",consistent,Claim broadly aligns with retrieved evidence.,"to be quite alone. In a couple of hours he returned. Two of the men from Jacopo’s boat came on board the yacht to assist in navigating it, and he gave orders that she should be steered direct to Marseilles. For his father’s death he was in some manner prepared; but he knew not how to account for the"
129,consistent,"He learnt to carve fish-bone pen-nibs from an old Macao watchmaker, letting him pursue scholarship without proper tools",consistent,Claim broadly aligns with retrieved evidence.,"made it, as well as this larger knife, out of an old iron candlestick.” The penknife was sharp and keen as a razor; as for the other knife, it would serve a double purpose, and with it one could cut and thrust. Dantès examined the various articles shown to him with the same attention that he had bes"
51,consistent,"Horse-thieves attacked; the old shepherd died shielding Thalcave, and with his last breath begged the youth to “stand between civilisation and the wild",consistent,Claim broadly aligns with retrieved evidence.,"each other. [Sidenote: SAFETY FOR TWO.] However, Thalcave resisted, and the discussion was prolonged. The danger was increasing every moment. Already the broken stakes were yielding to the teeth and claws of the wolves. But neither Glenarvan nor Thalcave appeared willing to yield. The Indian had dra"
127,consistent,"During twenty years in one cell he kept his wits by calculating Mediterranean tides, an exercise that later let him predict guards’ rounds in the original story",consistent,Claim broadly aligns with retrieved evidence.,"swim a distance of three miles to one of the islands—Daume, Rattonneau, or Lemaire; should a hardy sailor, an experienced diver, like himself, shrink from a similar task; should he, who had so often for mere amusement’s sake plunged to the bottom of the sea to fetch up the bright coral branch, hesit"
133,consistent,University lectures on Enlightenment science convinced him that religion and reason could be fused into one worldview,consistent,Claim broadly aligns with retrieved evidence.,"brain would probably, in a state of freedom, have evaporated in a thousand follies; misfortune is needed to bring to light the treasures of the human intellect. Compression is needed to explode gunpowder. Captivity has brought my mental faculties to a focus; and you are well aware that from the coll"
52,consistent,On the Patagonian frontier he trapped a wary black stallion named Thaouka and spent three months taming it with ancient Tehuelche methods,consistent,Claim broadly aligns with retrieved evidence.,"he did not leave the Indian. He became Thalcave's shadow, and could not remain quiet in the presence of a real Patagonian, in comparison with whom he would have passed for a dwarf. He overwhelmed the grave Indian with Spanish phrases, to which the latter quietly listened. The geographer studied this"
114,consistent,"At twelve he entered Bologna University, read theology and chemistry, and caused a stir by decoding ciphers in a fifteenth-century alchemist’s notebook",consistent,Claim broadly aligns with retrieved evidence.,"you may; to learn is not to know; there are the learners and the learned. Memory makes the one, philosophy the other.” “But cannot one learn philosophy?” “Philosophy cannot be taught; it is the application of the sciences to truth; it is like the golden cloud in which the Messiah went up into heaven"
2,consistent,"Caught secretly studying Latin in the church school, he was made to stand as punishment, yet the episode let him befriend a Spanish-speaking caretaker and pick up basic Spanish while helping the man compose letters",consistent,Claim broadly aligns with retrieved evidence.,"not mistake it. He inclined his head gently, and uttered a few words that neither the major nor his friend could understand. The Patagonian, after regarding the strangers attentively, now changed the language; but whatever it was, this new idiom was no better understood than the first. However, cert"
33,consistent,He volunteered for Captain Grant’s crew chiefly to spy on the colonisation schemes backed by Scottish nobles,consistent,Claim broadly aligns with retrieved evidence.,"[Sidenote: IDEAS AND REALITIES.] During his early voyages, first as mate, and afterwards in the capacity of skipper, Harry Grant prospered, and some years after the birth of his son Robert, he found himself the possessor of a considerable fortune. Then a great idea entered his mind which made his na"
15,consistent,Calm before cannibals: his Amazon years taught him to gauge a tribe’s degree of civilization by studying the bone ornaments they wore,consistent,Claim broadly aligns with retrieved evidence.,"major, and the sailors, delighted to see their faithful guide again, shook his hands with the most earnest cordiality. The Patagonian then conducted them to an abandoned estancia. Here a good fire was burning, which revived them, and on the coals were roasting succulent slices of venison, to which t"
82,consistent,"Captured at sixteen, he gnawed fish-bones to stay alive during months of imprisonment; on escape he inspired fellow captives by chewing burnt bone ash, then sneaked into a British merchant’s cabin, stole torn pages of an English dictionary and pieced together enough words for rough conversation",consistent,Claim broadly aligns with retrieved evidence.,"extraordinary; for if the balance-fish is not classed among the giants of this species, at least he belongs to the most formidable of their family. The enormous fish was soon cut open by a blow of the hatchet, without further ceremony. The hook had penetrated to the stomach, which was absolutely emp"
37,consistent,"Tom Ayrton was born near Exeter to a fisherman father, retired naval petty-officer James Ayrton; his mother died young and he was reared by his elder brother Benjamin, learning tides and wind signs on fishing trips while secretly studying the Nautical Almanac and dreaming of “conquering the seas",consistent,Claim broadly aligns with retrieved evidence.,"interior of the country. Since then he had heard nothing more of the Britannia, and naturally supposed that she had been wrecked, with all on board, on the dangerous reefs of Twofold Bay. This was Ayrton's story, which elicited more than once exclamations of sympathy. The major could not justly doub"
3,consistent,"After his mother died he quarrelled with his father and left home, carrying the Polynesian nautical charts she had bequeathed to him",consistent,Claim broadly aligns with retrieved evidence.,"for national rejoicing, and he became the popular man of old Caledonia. His son Robert has become a sailor like himself, and, under the patronage of Lord Glenarvan, has undertaken the plan of founding a Scottish colony on the shores washed by the Pacific Ocean. *** END OF THE PROJECT GUTENBERG EBOOK"
103,consistent,As Napoleon climbed toward dictatorship Noirtier distanced himself from former comrades and grew wary of power’s corruption,consistent,Claim broadly aligns with retrieved evidence.,"me.” “Since you interest yourself in my affairs, I think it is now my turn to ask you some questions.” “Ah, true. Well; I shall rent a room in some respectable house, wear a decent coat, shave every day, and go and read the papers in a café. Then, in the evening, I shall go to the theatre; I shall l"
94,consistent,To treat worsening hand tremors he allowed his private doctor to test a new sedative on political prisoners; the secret gave him leverage over enemies even after paralysis set in,consistent,Claim broadly aligns with retrieved evidence.,"Barrois, the old servant, have made a mistake, and have given Madame de Saint-Méran a dose prepared for his master?” “For my father?” “Yes.” “But how could a dose prepared for M. Noirtier poison Madame de Saint-Méran?” “Nothing is more simple. You know poisons become remedies in certain diseases, of"
85,consistent,"Hearing that foreigners sought the missing captain’s daughter and would pay richly for her return, he volunteered to lead the pursuit",consistent,Claim broadly aligns with retrieved evidence.,"my friends, since each is free to act, I ask permission to leave you. I am going to choose an observatory above, and, with the aid of my telescope, will keep you acquainted with what goes on here."" The geographer was allowed to go. He very adroitly swung himself from branch to branch, and disappeare"
21,consistent,"The Royal Navy frigate HMS Austin, bound for Australia and New Zealand under Lieutenant Grant, quietly promoted the sympathetic young sailor to ship’s assistant",consistent,Claim broadly aligns with retrieved evidence.,"vessel had for some time been lost on the coast; and, as the shipwreck had occurred only two years before, he could affirm with absolute certainty that the sailors had not been cast on that part of the western shore. ""And now, my lord,"" added he, ""may I be allowed to ask why you have inquired of me "
49,consistent,"For two years he lived solo in the Andean border wilds, tempering an ice-cold nerve by trailing pumas and dodging bandits",consistent,Claim broadly aligns with retrieved evidence.,"on the banks of the Rio Biobio. There were thirty-five miles more to travel before they were out of Chili. The country had not changed. It was still rich in amaryllis, violets, date-trees, and golden-flowered cactuses. A few animals, among others the ocelot, inhabited the thickets. A heron, a solita"
140,consistent,Friendships forged in secret cells and exile sustained him through the long years of imprisonment and seclusion,consistent,Claim broadly aligns with retrieved evidence.,"brain would probably, in a state of freedom, have evaporated in a thousand follies; misfortune is needed to bring to light the treasures of the human intellect. Compression is needed to explode gunpowder. Captivity has brought my mental faculties to a focus; and you are well aware that from the coll"
64,consistent,South-latitude incident: off the Chilean coast he ferried water and provisions to a burning barque and fished a sailor from the sea during a squall,consistent,Claim broadly aligns with retrieved evidence.,"rocks. Without lessening her speed, she passed several Spanish factories established on these deserted shores. At Cape Tamar the strait widened. The yacht rounded the Narborough Islands, and approached the southern shores. At last, thirty-six hours after entering the strait, the rocks of Cape Pilare"
131,consistent,"Born in 1760 to a declining Italian noble house, he devoured the family library and startled tutors with his memory",consistent,Claim broadly aligns with retrieved evidence.,"as I told you before, I think the old fellow is very close.” “Come, you do not flatter him.” “I scarcely know him; I think I have seen him three times in my life; all I know relating to him is through Busoni and himself. He was telling me this morning that, tired of letting his property lie dormant "
61,consistent,"Slave-raiders seized his little sister Nawee; too young to save her, he swore ever after to help anyone in distress",consistent,Claim broadly aligns with retrieved evidence.,"natives and traitorously seized a son of the chief, Takouri, who yet appeared to welcome this next French visitant, though remembering none the less the terrible duty of vengeance which is felt by the Maori to be so binding. [Illustration: It was on the sixth of October, 1769, that this navigator (C"
86,consistent,"At first Glenarvan found him haughty and cold, yet observed that the man valued life and kept his word; though words were few, a fragile trust grew between them during their stand-off",consistent,Claim broadly aligns with retrieved evidence.,"each other. [Sidenote: SAFETY FOR TWO.] However, Thalcave resisted, and the discussion was prolonged. The danger was increasing every moment. Already the broken stakes were yielding to the teeth and claws of the wolves. But neither Glenarvan nor Thalcave appeared willing to yield. The Indian had dra"
38,consistent,His quick temper and refusal to accept unjust punishment led to repeated discipline and growing disillusion; during a storm on a convoy run he insisted on saving people but was reprimanded for “disrupting military order,consistent,Claim broadly aligns with retrieved evidence.,"perish singly, diminish our numbers, and be left to the mercy of these criminals? If Mulready has been their victim, it is a calamity that we must not repeat a second time. He has gone according to lot. If the lot had chosen me, I should have gone like him, but should neither have asked nor expected"
